AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-126.50546;-123.51608;-122.58995;17961.72;explore;2;DEFEAT
-125.87652;-123.35043;-121.57243;15334.496;explore;2;DEFEAT
-118.87022;-109.67439;-113.708694;17526.375;explore;2;DEFEAT
-120.13906;-96.77185;-113.75903;3041.7783;explore;2;DEFEAT
-119.09721;-108.59979;-113.740425;16779.125;explore;2;DEFEAT
-123.68259;-103.524666;-118.873764;16053.758;explore;2;DEFEAT
-124.93689;-111.38765;-117.60268;15215.674;explore;4;DEFEAT
-123.83913;-113.79102;-119.11537;17072.033;explore;2;DEFEAT
-126.472984;-105.30925;-123.656784;18315.908;explore;2;DEFEAT
