AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-254.02385;-244.13956;-252.56606;16656.379;explore;8;VICTORY
-253.56529;-244.5888;-252.10081;17690.844;shoot;12;VICTORY
-253.36256;-244.38814;-251.6266;16667.258;explore;4;VICTORY
-253.34866;-244.9197;-252.39459;17911.453;explore;2;VICTORY
