AvgAltitude;MaxAltitude;CurrentAltitude;FovValue;LastAction;Life
-122.1375;-109.65542;-123.1575;11423.177;explore;2;DEFEAT
-120.82965;-107.924385;-117.755;20135.23;explore;2;DEFEAT
-127.04487;-111.953064;-122.68098;17241.672;explore;2;DEFEAT
-130.61896;-111.39503;-126.76202;16016.121;shoot;2;DEFEAT
-125.94327;-112.92482;-124.61606;19945.88;shoot;2;DEFEAT
