@RELATION states.csv
@ATTRIBUTE avgAlt REAL
@ATTRIBUTE maxAlt REAL
@ATTRIBUTE curAlt REAL
@ATTRIBUTE fov REAL
@ATTRIBUTE lastAction {explore, shoot, idle}
@ATTRIBUTE life REAL
@ATTRIBUTE class {INSIGHT, NOTINSIGHT}

@DATA
-128.13582,-107.06136,-127.629585,19637.441,explore,8,NOTINSIGHT
-120.05135,-105.59636,-116.463066,17183.441,explore,8,NOTINSIGHT
-127.2257,-106.48923,-126.4654,19659.639,explore,8,INSIGHT
-127.2257,-106.48923,-126.4654,19659.639,explore,8,INSIGHT
-126.830574,-106.20197,-125.880295,19433.201,explore,8,INSIGHT
-126.582825,-105.05754,-125.43357,19410.125,explore,8,INSIGHT
-126.3559,-103.46551,-125.12473,19228.383,explore,8,INSIGHT
-126.23053,-106.65025,-124.95328,19295.156,explore,8,INSIGHT
-126.188034,-107.224655,-124.91873,19240.148,explore,8,INSIGHT
-126.188034,-107.224655,-124.91873,19240.148,explore,8,INSIGHT
-126.1945,-107.93274,-125.02065,19318.293,explore,8,NOTINSIGHT
-120.92894,-103.06153,-117.65203,18412.52,explore,8,NOTINSIGHT
-118.73109,-103.29069,-113.85598,17613.154,explore,8,NOTINSIGHT
-118.44136,-104.685036,-113.21824,17548.39,explore,8,NOTINSIGHT
-117.46033,-104.22858,-111.848404,17398.885,explore,8,NOTINSIGHT
-127.028435,-109.91529,-125.64387,19299.145,explore,8,NOTINSIGHT
-118.47233,-106.294624,-114.72783,17695.773,explore,6,NOTINSIGHT
-116.85156,-103.80485,-112.85007,17616.736,explore,6,NOTINSIGHT
-116.782135,-103.56242,-112.62659,17591.146,explore,6,NOTINSIGHT
-116.46942,-103.08,-112.250854,17591.285,explore,6,NOTINSIGHT
-128.3128,-104.09798,-128.2877,20037.287,explore,6,NOTINSIGHT
-124.06738,-104.29767,-122.352516,19597.754,explore,6,NOTINSIGHT
-125.66056,-104.77462,-123.50281,17728.11,explore,6,NOTINSIGHT
-122.169945,-103.50052,-118.267624,16748.377,explore,6,NOTINSIGHT
-121.82258,-102.752815,-117.54912,16612.738,explore,6,NOTINSIGHT
-117.33549,-103.012596,-109.66153,15551.818,explore,6,NOTINSIGHT
-125.5893,-106.20436,-123.99447,19150.656,explore,6,NOTINSIGHT
-120.08706,-102.745125,-116.38143,18198.496,explore,6,NOTINSIGHT
-118.50109,-104.72586,-113.18936,17574.408,explore,6,NOTINSIGHT
-117.79417,-103.72681,-111.89532,17481.09,explore,6,NOTINSIGHT
-117.56595,-104.263016,-111.253654,17371.945,explore,6,NOTINSIGHT
-117.37161,-104.247986,-110.750694,17408.79,explore,6,NOTINSIGHT
-117.1975,-104.007324,-110.38619,17384.24,explore,6,NOTINSIGHT
-117.02846,-104.02159,-110.1599,17326.541,explore,6,NOTINSIGHT
-116.847,-104.2873,-110.07159,17365.314,explore,6,NOTINSIGHT
